Company Name,Industry,Symbol,Series,ISIN Code,Keyword,Link,L_limit
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,Adani,adani-enterprises-news,12
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,Adani,mundra-port-special-eco.-zone-news,30
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,ApolloHospital,apollo-hospitals-news,14
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,AsianPaints,asian-paints-news,41
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,AxisBank,axis-bank-news,53
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,BajajAuto,bajaj-auto-news,42
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01024,Bajaj,bajaj-finance-news,43
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026,Bajaj,bajaj-finserv-limited-news,23
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024,BharatElectronics,bharat-electronics-news,9
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011,BharatPetroleum,bharat-petroleum-news,43
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024,Airtel,bharti-airtel-news,54
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030,Britannia,britannia-industries-news,15
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026,Cipla,cipla-news,38
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014,CoalIndia,coal-india-news,41
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01031,DrReddys ,dr-reddys-laboratories-news,30
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021,Eicher,eicher-motors-news,24
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021,Grasim,grasim-industries-news,17
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027,HCL,hcl-technologies-news,55
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034,HDFCBank,hdfc-bank-ltd-news,43
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014,HDFCLife ,hdfc-standard-life-news,15
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026,HeroMoto,hero-motocorp-news,45
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020,Hindalco,hindalco-industries-news,43
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027,Unilever,hindustan-unilever-news,42
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021,ICICI,icici-bank-ltd-news,48
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025,ITC,itc-news,43
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012,IndusIND,indusind-bank-news,52
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021,Infosys,infosys-news,42
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038,JSW,jsw-steel-news,24
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01028,Kotak,kotak-mahindra-bank-news,38
Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030,L&T,larsen---toubro-news,34
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026,Mahindra,mahindra---mahindra-news,55
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010,MarutiSuzuki,maruti-suzuki-india-news,39
NTPC Ltd.,Power,NTPC,EQ,INE733E01010,NTPC,ntpc-news,44
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024,Nestle,nestle-news,24
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029,ONGC,oil---natural-gas-corporation-news,52
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010,PGCI,power-grid-corp.-of-india-news,34
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018,Reliance,reliance-industries-news,75
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016,SBILife,sbi-life-insurance-news,13
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01013,ShriramFinance,shriram-transport-finance-news,13
State Bank of India,Financial Services,SBIN,EQ,INE062A01020,SBI,state-bank-of-india-news,53
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036,SunPharma,sun-pharma-advanced-research-news,46
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029,TCS,tata-consultancy-services-news,66
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025,TataConsumer ,tata-global-beverages-news,5
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022,TataMoto,tata-motors-ltd-news,70
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020,TataSteel,tata-steel-news,60
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036,TechMahindra,tech-mahindra-news,36
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028,Titan,titan-industries-news,28
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020,Trent,trent-news,4
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011,UltraTech,ultratech-cement-news,31
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022,Wipro,wipro-ltd-news,35
