Date,Close,Open,High
2024-11-25,295.15,289.25,296.0
2024-11-22,280.85,276.0,283.5
2024-11-21,275.45,278.45,278.45
2024-11-19,279.0,280.0,285.2
2024-11-18,278.05,283.0,286.7
2024-11-14,280.95,282.0,284.45
2024-11-13,281.55,288.0,288.85
2024-11-12,290.15,300.0,300.85
2024-11-11,299.75,297.5,303.8
2024-11-08,297.75,300.35,304.5
2024-11-07,300.35,301.0,302.0
2024-11-06,301.85,287.5,304.3
2024-11-05,286.35,282.5,287.2
2024-11-04,284.15,289.0,289.0
2024-11-01,288.65,286.65,290.25
2024-10-31,284.9,287.95,288.45
2024-10-30,288.55,283.45,294.75
2024-10-29,283.65,271.2,284.5
2024-10-28,270.05,276.7,277.95
2024-10-25,272.35,271.0,276.0
2024-10-24,271.35,269.0,273.15
2024-10-23,268.65,271.0,274.7
2024-10-22,271.65,282.0,282.15
2024-10-21,282.3,286.3,287.45
2024-10-18,287.15,282.9,287.8
2024-10-17,284.55,286.05,287.9
2024-10-16,285.7,288.15,291.05
2024-10-15,288.85,287.15,289.45
2024-10-14,285.7,286.1,289.2
2024-10-11,285.9,287.2,288.65
2024-10-10,286.9,283.95,289.6
2024-10-09,282.4,282.0,286.6
2024-10-08,280.25,267.0,281.5
2024-10-07,267.35,277.4,278.9
2024-10-04,277.2,278.7,281.9
2024-10-03,278.7,275.05,286.3
2024-10-01,283.95,285.1,286.6
2024-09-30,285.1,293.45,294.6
2024-09-27,293.45,292.35,294.85
2024-09-26,290.5,290.6,291.9
2024-09-25,289.85,294.0,295.0
2024-09-24,291.8,286.3,293.4
2024-09-23,286.3,280.0,286.7
2024-09-20,277.35,274.0,279.4
2024-09-19,272.7,284.0,284.85
2024-09-18,282.85,284.9,286.0
2024-09-17,284.3,290.5,290.85
2024-09-16,290.4,290.9,292.2
2024-09-13,289.95,293.0,294.0
2024-09-12,291.7,290.9,292.5
2024-09-11,288.05,286.45,290.45
2024-09-10,285.75,282.5,288.35
2024-09-09,281.55,282.0,284.5
2024-09-06,283.6,290.35,290.35
2024-09-05,290.6,299.0,299.5
2024-09-04,298.95,297.15,301.9
2024-09-03,297.15,300.0,301.35
2024-09-02,296.9,301.95,301.95
2024-08-30,299.3,296.8,302.15
2024-08-29,296.2,299.35,301.05
2024-08-28,299.95,301.05,304.5
2024-08-27,300.9,306.6,307.45
2024-08-26,306.7,308.7,308.9
2024-08-23,306.0,305.5,309.2
2024-08-22,304.5,306.4,306.9
2024-08-21,305.4,303.0,306.75
2024-08-20,303.15,302.15,304.5
2024-08-19,302.15,304.8,305.55
2024-08-16,303.3,296.5,303.9
2024-08-14,293.7,296.15,297.05
2024-08-13,296.15,302.0,302.65
2024-08-12,301.4,299.0,303.65
2024-08-09,302.2,302.5,305.0
2024-08-08,298.25,301.0,302.7
2024-08-07,300.2,295.5,301.0
2024-08-06,287.25,292.0,302.6
2024-08-05,290.25,289.85,297.45
2024-08-02,302.95,305.3,308.7
2024-08-01,311.15,317.7,317.7
2024-07-31,316.05,319.9,320.6
2024-07-30,318.1,325.2,326.55
2024-07-29,321.35,312.8,325.6
2024-07-26,309.9,303.8,310.5
2024-07-25,301.45,297.95,303.4
2024-07-24,300.1,302.5,306.5
2024-07-23,301.45,317.0,317.0
2024-07-22,312.3,306.0,314.7
2024-07-19,306.3,309.9,316.9
2024-07-18,313.55,326.5,326.7
2024-07-16,326.15,333.25,334.4
2024-07-15,331.4,336.0,336.05
2024-07-12,333.1,336.9,337.5
2024-07-11,335.5,335.5,338.2
2024-07-10,333.85,340.0,340.5
2024-07-09,334.8,338.0,339.35
2024-07-08,334.6,328.45,335.8
