Date,Close,Open,High
2024-11-25,"2,958.65","2,932.00","3,014.75"
2024-11-22,"2,850.05","2,750.00","2,865.00"
2024-11-21,"2,802.20","2,835.95","2,837.00"
2024-11-19,"2,824.75","2,848.00","2,866.00"
2024-11-18,"2,848.15","2,822.60","2,866.80"
2024-11-14,"2,822.60","2,852.80","2,867.00"
2024-11-13,"2,853.85","2,930.50","2,930.50"
2024-11-12,"2,931.20","3,014.45","3,025.35"
2024-11-11,"2,999.45","3,010.00","3,057.05"
2024-11-08,"3,007.95","3,085.00","3,085.00"
2024-11-07,"3,070.15","3,193.90","3,193.90"
2024-11-06,"3,186.70","3,187.00","3,200.00"
2024-11-05,"3,162.30","3,157.60","3,176.00"
2024-11-04,"3,147.90","3,155.40","3,169.65"
2024-11-01,"3,150.95","3,159.00","3,164.00"
2024-10-31,"3,138.90","3,185.00","3,185.00"
2024-10-30,"3,185.80","3,217.05","3,259.70"
2024-10-29,"3,265.80","3,242.10","3,285.65"
2024-10-28,"3,259.30","3,164.00","3,344.15"
2024-10-25,"3,092.65","3,254.30","3,254.30"
2024-10-24,"3,245.10","3,190.00","3,266.00"
2024-10-23,"3,197.75","3,200.00","3,260.50"
2024-10-22,"3,254.50","3,313.30","3,391.00"
2024-10-21,"3,313.30","3,356.95","3,383.50"
2024-10-18,"3,344.65","3,187.75","3,373.90"
2024-10-17,"3,258.60","3,379.00","3,385.95"
2024-10-16,"3,390.40","3,417.00","3,422.00"
2024-10-15,"3,401.15","3,420.00","3,438.60"
2024-10-14,"3,395.30","3,368.00","3,430.00"
2024-10-11,"3,341.20","3,350.00","3,357.90"
2024-10-10,"3,337.65","3,400.00","3,415.95"
2024-10-09,"3,387.95","3,354.50","3,480.00"
2024-10-08,"3,329.30","3,278.00","3,373.05"
2024-10-07,"3,299.35","3,369.80","3,413.00"
2024-10-04,"3,336.30","3,407.00","3,414.50"
2024-10-03,"3,409.50","3,570.00","3,574.90"
2024-10-01,"3,570.40","3,577.00","3,627.80"
2024-09-30,"3,576.95","3,613.95","3,644.95"
2024-09-27,"3,621.05","3,618.00","3,652.25"
2024-09-26,"3,628.45","3,537.10","3,637.00"
2024-09-25,"3,524.05","3,516.30","3,539.80"
2024-09-24,"3,516.30","3,581.50","3,581.50"
2024-09-23,"3,567.70","3,550.95","3,612.00"
2024-09-20,"3,532.10","3,539.00","3,586.00"
2024-09-19,"3,525.35","3,571.55","3,623.65"
2024-09-18,"3,574.70","3,444.50","3,589.95"
2024-09-17,"3,424.60","3,415.00","3,466.75"
2024-09-16,"3,418.95","3,378.00","3,439.85"
2024-09-13,"3,368.25","3,399.70","3,425.00"
2024-09-12,"3,400.75","3,300.00","3,412.40"
2024-09-11,"3,279.90","3,265.05","3,298.00"
2024-09-10,"3,260.05","3,327.90","3,337.90"
2024-09-09,"3,315.70","3,290.00","3,323.20"
2024-09-06,"3,235.65","3,253.90","3,266.95"
2024-09-05,"3,245.50","3,246.95","3,294.00"
2024-09-04,"3,243.95","3,237.05","3,281.95"
2024-09-03,"3,271.60","3,211.00","3,283.05"
2024-09-02,"3,225.25","3,219.95","3,258.40"
2024-08-30,"3,204.50","3,200.75","3,224.40"
2024-08-29,"3,200.50","3,199.00","3,262.00"
2024-08-28,"3,201.85","3,225.00","3,248.00"
2024-08-27,"3,229.45","3,153.90","3,268.90"
2024-08-26,"3,162.15","3,140.00","3,179.75"
2024-08-23,"3,126.55","3,160.00","3,162.30"
2024-08-22,"3,143.60","3,165.00","3,166.95"
2024-08-21,"3,159.05","3,139.95","3,190.00"
2024-08-20,"3,159.85","3,118.00","3,177.00"
2024-08-19,"3,075.60","3,028.00","3,085.00"
2024-08-16,"2,981.50","2,913.00","2,991.90"
2024-08-14,"2,895.10","2,901.00","2,916.60"
2024-08-13,"2,891.35","2,980.00","2,995.45"
2024-08-12,"2,976.10","2,949.95","3,015.00"
2024-08-09,"2,958.10","2,910.00","2,973.35"
2024-08-08,"2,872.20","2,920.00","2,920.00"
2024-08-07,"2,925.05","2,890.10","2,932.10"
2024-08-06,"2,836.80","2,920.15","2,940.45"
2024-08-05,"2,891.45","2,876.00","2,941.85"
2024-08-02,"2,992.10","2,945.00","3,022.90"
2024-08-01,"2,989.25","2,932.90","2,999.00"
2024-07-31,"2,931.95","2,933.90","2,947.05"
2024-07-30,"2,912.05","2,943.00","2,981.40"
2024-07-29,"2,943.00","2,970.00","3,035.75"
2024-07-26,"2,925.00","2,705.80","3,044.00"
2024-07-25,"2,679.00","2,699.50","2,710.00"
2024-07-24,"2,724.25","2,739.00","2,760.00"
2024-07-23,"2,739.20","2,827.00","2,827.00"
2024-07-22,"2,827.40","2,799.90","2,847.95"
2024-07-19,"2,810.85","2,860.00","2,875.85"
2024-07-18,"2,867.30","2,777.00","2,873.95"
2024-07-16,"2,813.50","2,886.90","2,900.00"
2024-07-15,"2,882.30","2,813.00","2,889.00"
2024-07-12,"2,794.40","2,750.00","2,860.00"
2024-07-11,"2,739.00","2,762.10","2,785.45"
2024-07-10,"2,762.10","2,793.95","2,804.65"
2024-07-09,"2,792.00","2,808.90","2,813.95"
2024-07-08,"2,808.10","2,856.00","2,856.00"
2024-07-05,"2,865.85","2,835.00","2,872.25"
2024-07-04,"2,833.75","2,867.95","2,868.00"
2024-07-03,"2,850.45","2,840.00","2,885.00"
2024-07-02,"2,824.90","2,927.00","2,940.00"
2024-07-01,"2,924.25","2,902.05","2,942.00"
2024-06-28,"2,911.50","2,951.05","2,969.30"
2024-06-27,"2,951.05","2,987.05","2,996.65"
2024-06-26,"2,989.05","2,985.80","3,059.45"
2024-06-25,"2,989.85","2,883.25","3,000.00"
2024-06-24,"2,882.25","2,819.30","2,890.00"
2024-06-21,"2,821.65","2,810.00","2,842.00"
2024-06-20,"2,805.20","2,804.55","2,854.50"
2024-06-19,"2,791.25","2,829.80","2,831.00"
2024-06-18,"2,829.75","2,748.95","2,841.15"
2024-06-14,"2,732.15","2,712.00","2,747.00"
2024-06-13,"2,684.30","2,592.00","2,697.65"
