Symbol,Open,Close,Percent_Change,Actual_Direction
DMART,3665.0,3841.6,4.82,UP
TITAN,4225.0,4273.2,1.14,UP
SOLARINDS,12856.0,13328.0,3.67,UP
TORNTPHARM,3936.8,4092.2,3.95,UP
HCLTECH,1620.8,1647.7,1.66,UP
VBL,500.0,509.7,1.94,UP
HYUNDAI,2313.0,2362.0,2.12,UP
LTIM,5985.0,6102.0,1.95,UP
NAUKRI,1340.1,1359.4,1.44,UP
WIPRO,265.0,270.8,2.19,UP
TECHM,1599.0,1625.2,1.64,UP
JIOFIN,298.0,303.5,1.85,UP
INFY,1615.0,1639.0,1.49,UP
ABB,5215.0,5299.0,1.61,UP
BAJAJ-AUTO,9668.0,9789.5,1.26,UP
APOLLOHOSP,7349.0,7447.5,1.34,UP
SUNPHARMA,1755.0,1782.6,1.57,UP
TCS,3242.9,3295.6,1.63,UP
BANKBARODA,304.5,308.25,1.23,UP
JSWSTEEL,1174.9,1189.8,1.27,UP
ICICIBANK,1408.0,1427.7,1.4,UP
COALINDIA,426.95,431.65,1.1,UP
EICHERMOT,7523.0,7582.5,0.79,UP
BRITANNIA,6200.0,6185.0,-0.24,DOWN
BEL,413.1,415.65,0.62,UP
IRFC,127.5,128.04,0.42,UP
ADANIENT,2265.0,2274.1,0.4,UP
RECLTD,382.85,385.25,0.63,UP
MAZDOCK,2473.0,2511.4,1.55,UP
ETERNAL,277.0,280.95,1.43,UP
BOSCHLTD,38700.0,39145.0,1.15,UP
PIDILITIND,1510.0,1514.8,0.32,UP
TRENT,4050.0,4060.5,0.26,UP
LT,4106.0,4157.0,1.24,UP
LICI,850.05,851.95,0.22,UP
HAL,4516.0,4525.1,0.2,UP
PFC,376.1,376.95,0.23,UP
SIEMENS,3120.0,3133.6,0.44,UP
AXISBANK,1293.0,1295.5,0.19,UP
DIVISLAB,6680.0,6642.5,-0.56,DOWN
VEDL,625.95,622.2,-0.6,DOWN
UNITDSPR,1376.6,1377.8,0.09,UP
BAJAJHLDNG,11224.0,11198.0,-0.23,DOWN
TATACONSUM,1216.4,1212.6,-0.31,DOWN
KOTAKBANK,2146.4,2144.0,-0.11,DOWN
ADANIGREEN,1019.0,1019.2,0.02,UP
CGPOWER,636.85,636.95,0.02,UP
PNB,125.45,125.68,0.18,UP
RELIANCE,1510.0,1504.2,-0.38,DOWN
LODHA,1120.0,1110.9,-0.81,DOWN
ITC,343.0,341.25,-0.51,DOWN
NESTLEIND,1312.5,1314.8,0.18,UP
ULTRACEMCO,12230.0,12184.0,-0.38,DOWN
AMBUJACEM,,,,DOWN
ZYDUSLIFE,928.0,927.55,-0.05,DOWN
DLF,705.0,703.25,-0.25,DOWN
HINDALCO,951.05,938.45,-1.32,DOWN
GODREJCP,1273.9,1247.7,-2.06,DOWN
NTPC,349.55,348.85,-0.2,DOWN
HAVELLS,1503.9,1496.2,-0.51,DOWN
GAIL,169.4,168.48,-0.54,DOWN
HDFCLIFE,778.0,772.35,-0.73,DOWN
JINDALSTEL,1080.0,1074.7,-0.49,DOWN
ADANIPORTS,1473.2,1465.3,-0.54,DOWN
JSWENERGY,515.0,512.6,-0.47,DOWN
TVSMOTOR,3850.8,3840.2,-0.28,DOWN
CANBK,154.1,152.96,-0.74,DOWN
SHRIRAMFIN,996.05,995.85,-0.02,DOWN
BAJAJFINSV,2040.0,2031.9,-0.4,DOWN
BPCL,371.55,368.2,-0.9,DOWN
BAJFINANCE,973.05,968.8,-0.44,DOWN
ENRIN,2619.1,2603.3,-0.6,DOWN
M&M,3800.0,3748.8,-1.35,DOWN
INDIGO,5010.0,4951.0,-1.18,DOWN
DRREDDY,1252.6,1242.8,-0.78,DOWN
IOC,164.1,162.67,-0.87,DOWN
ADANIPOWER,147.55,146.37,-0.8,DOWN
BHARTIARTL,2095.6,2084.2,-0.54,DOWN
BAJAJHFL,96.95,95.89,-1.09,DOWN
ONGC,240.21,239.06,-0.48,DOWN
CHOLAFIN,1809.8,1786.5,-1.29,DOWN
SBILIFE,2090.0,2070.8,-0.92,DOWN
ADANIENSOL,1043.3,1033.5,-0.94,DOWN
SBIN,1022.7,1007.15,-1.52,DOWN
GRASIM,2880.0,2837.1,-1.49,DOWN
HDFCBANK,956.0,949.05,-0.73,DOWN
SHREECEM,27560.0,27320.0,-0.87,DOWN
MOTHERSON,120.7,119.35,-1.12,DOWN
ASIANPAINT,2845.8,2809.4,-1.28,DOWN
TATASTEEL,186.2,183.8,-1.29,DOWN
HINDUNILVR,2416.0,2399.4,-0.69,DOWN
MAXHEALTH,1049.0,1034.7,-1.36,DOWN
POWERGRID,268.5,264.1,-1.64,DOWN
TMPV,367.05,363.35,-1.01,DOWN
TATAPOWER,386.6,380.75,-1.51,DOWN
INDHOTEL,720.0,715.35,-0.65,DOWN
ICICIGI,2015.0,1966.2,-2.42,DOWN
HINDZINC,649.1,630.0,-2.94,DOWN
MARUTI,17230.0,16809.0,-2.44,DOWN
CIPLA,1516.0,1467.9,-3.17,DOWN
