Date,Symbol,Sector,Open,Close,High,Low,Volume,Percent_Change,Actual_Direction
2026-04-21,ADANIENT,Trading - Minerals,2229.7,2226.0,2255.0,2220.0,1817836,-0.165939,DOWN
2026-04-21,ADANIPORTS,Port & Port services,1578.5,1594.1,1611.9,1578.4,4276609,0.988278,UP
2026-04-21,APOLLOHOSP,Hospital,7686.5,7744.0,7765.0,7667.5,312754,0.748065,UP
2026-04-21,ASIANPAINT,Paints,2516.3,2543.6,2582.0,2513.7,1681853,1.084928,UP
2026-04-21,AXISBANK,Private Sector Bank,1361.0,1377.7,1380.3,1354.7,5122175,1.227035,UP
2026-04-21,BAJAJ-AUTO,2/3 Wheelers,9803.0,9793.0,9874.0,9741.0,291287,-0.10201,DOWN
2026-04-21,BAJAJFINSV,Holding Company,1827.3,1851.4,1855.0,1825.0,952344,1.318884,UP
2026-04-21,BAJFINANCE,Non Banking Financial Company (NBFC),919.5,938.85,945.95,919.0,6711563,2.104402,UP
2026-04-21,BEL,Aerospace & Defense,457.5,451.5,461.8,449.45,13486855,-1.311475,DOWN
2026-04-21,BHARTIARTL,Telecom - Cellular & Fixed line services,1830.0,1855.0,1868.9,1830.0,10485221,1.36612,UP
2026-04-21,CIPLA,Pharmaceuticals,1228.6,1232.5,1236.4,1223.3,1428274,0.317436,UP
2026-04-21,COALINDIA,Coal,442.3,443.15,445.3,441.9,5335405,0.192179,UP
2026-04-21,DRREDDY,Pharmaceuticals,1232.6,1220.6,1234.9,1218.4,1230483,-0.973552,DOWN
2026-04-21,EICHERMOT,2/3 Wheelers,7243.0,7240.5,7296.0,7215.0,352999,-0.034516,DOWN
2026-04-21,ETERNAL,E-Retail/ E-Commerce,254.89,259.48,259.9,254.13,29050090,1.800781,UP
2026-04-21,GRASIM,Cement & Cement Products,2772.0,2777.7,2792.0,2755.0,686131,0.205626,UP
2026-04-21,HCLTECH,Computers - Software & Consulting,1430.0,1441.2,1455.0,1422.4,3089128,0.783213,UP
2026-04-21,HDFCBANK,Private Sector Bank,795.2,811.75,814.9,795.2,49127594,2.081236,UP
2026-04-21,HDFCLIFE,Life Insurance,609.75,614.2,615.9,602.8,4800815,0.729809,UP
2026-04-21,HINDALCO,Aluminium,1018.0,1021.65,1023.2,1011.4,3001802,0.358549,UP
2026-04-21,HINDUNILVR,Diversified FMCG,2238.7,2310.7,2335.7,2227.2,3216929,3.216152,UP
2026-04-21,ICICIBANK,Private Sector Bank,1368.0,1388.4,1393.1,1360.0,23310681,1.49123,UP
2026-04-21,INDIGO,Airline,4681.1,4693.1,4748.3,4676.2,850811,0.25635,UP
2026-04-21,INFY,Computers - Software & Consulting,1310.0,1313.2,1325.0,1299.3,10056344,0.244271,UP
2026-04-21,ITC,Diversified FMCG,305.0,309.65,311.1,304.55,24385095,1.524588,UP
2026-04-21,JIOFIN,Investment Company,237.27,234.75,237.6,234.1,46322490,-1.062083,DOWN
2026-04-21,JSWSTEEL,Iron & Steel,1284.4,1279.6,1296.4,1273.7,2108777,-0.373719,DOWN
2026-04-21,KOTAKBANK,Private Sector Bank,381.45,382.15,383.15,378.35,12323423,0.183505,UP
2026-04-21,LT,Civil Construction,4039.0,4075.4,4091.8,4032.0,2426568,0.901211,UP
2026-04-21,M&M,Passenger Cars & Utility Vehicles,3212.0,3247.3,3262.3,3212.0,1972010,1.099005,UP
2026-04-21,MARUTI,Passenger Cars & Utility Vehicles,13456.0,13461.0,13543.0,13421.0,292865,0.037158,UP
2026-04-21,MAXHEALTH,Hospital,1008.9,1020.25,1025.55,1008.0,1321729,1.124985,UP
2026-04-21,NESTLEIND,Packaged Foods,1298.1,1379.9,1396.0,1286.8,9585080,6.301521,UP
2026-04-21,NTPC,Power Generation,398.6,396.2,402.7,395.7,9492322,-0.602106,DOWN
2026-04-21,ONGC,Oil Exploration & Production,283.15,283.1,284.85,282.4,13645344,-0.017654,DOWN
2026-04-21,POWERGRID,Power - Transmission,318.95,319.35,322.0,318.0,8340661,0.12541,UP
2026-04-21,RELIANCE,Refineries & Marketing,1359.0,1353.3,1369.8,1350.1,27291825,-0.419422,DOWN
2026-04-21,SBILIFE,Life Insurance,1974.4,1911.6,1975.8,1891.7,5153568,-3.180716,DOWN
2026-04-21,SBIN,Public Sector Bank,1113.4,1111.85,1114.75,1105.95,16962113,-0.139218,DOWN
2026-04-21,SHRIRAMFIN,Non Banking Financial Company (NBFC),1054.0,1045.3,1062.7,1039.25,5697943,-0.825422,DOWN
2026-04-21,SUNPHARMA,Pharmaceuticals,1667.2,1665.2,1682.9,1659.9,3631119,-0.119962,DOWN
2026-04-21,TATACONSUM,Tea & Coffee,1125.0,1142.0,1145.6,1120.5,1071945,1.511111,UP
2026-04-21,TATASTEEL,Iron & Steel,211.72,212.01,214.49,211.08,17225872,0.13697,UP
2026-04-21,TCS,Computers - Software & Consulting,2560.0,2610.5,2614.0,2560.0,2719354,1.972656,UP
2026-04-21,TECHM,Computers - Software & Consulting,1501.0,1500.8,1510.9,1489.0,2001753,-0.013321,DOWN
2026-04-21,TITAN,Gems Jewellery And Watches,4513.5,4479.7,4544.5,4465.0,656089,-0.74886,DOWN
2026-04-21,TMPV,Passenger Cars & Utility Vehicles,354.0,355.9,358.9,353.45,5921029,0.536721,UP
2026-04-21,TRENT,Speciality Retail,4264.0,4390.5,4444.5,4242.8,2437947,2.966698,UP
2026-04-21,ULTRACEMCO,Cement & Cement Products,11800.0,12039.0,12065.0,11800.0,320106,2.025424,UP
2026-04-21,WIPRO,Computers - Software & Consulting,203.0,205.01,205.7,202.48,21510124,0.990145,UP
